Type,Time,Bid,Ask,Volume
Tick,2024-10-13 22:01:23.066000+00:00,2651.18,2652.31,
Tick,2024-10-13 22:01:23.115000+00:00,2651.26,2652.38,
Tick,2024-10-13 22:01:24.347000+00:00,2651.27,,
Tick,2024-10-13 22:01:24.494000+00:00,2651.19,2652.31,
Tick,2024-10-13 22:01:24.547000+00:00,2651.02,2652.15,
Tick,2024-10-13 22:01:24.646000+00:00,2651.09,2652.21,
Tick,2024-10-13 22:01:24.718000+00:00,2651.11,2652.24,
Tick,2024-10-13 22:01:24.746000+00:00,2651.15,2652.27,
Tick,2024-10-13 22:01:25.439000+00:00,2651.1,2652.22,
Tick,2024-10-13 22:01:25.452000+00:00,2651.05,2652.17,
Tick,2024-10-13 22:01:25.553000+00:00,2651.07,2652.19,
Tick,2024-10-13 22:01:25.855000+00:00,2651.09,,
Tick,2024-10-13 22:01:26.036000+00:00,2651.12,2652.25,
Tick,2024-10-13 22:01:26.093000+00:00,2651.09,2652.21,
Tick,2024-10-13 22:01:26.158000+00:00,2651.1,2652.22,
Tick,2024-10-13 22:01:26.188000+00:00,2651.12,2652.24,
Tick,2024-10-13 22:01:26.250000+00:00,2651.11,2652.21,
Tick,2024-10-13 22:01:26.258000+00:00,2651.09,,
Tick,2024-10-13 22:01:26.339000+00:00,2651.06,2652.1,
Tick,2024-10-13 22:01:26.358000+00:00,,2652.01,
Tick,2024-10-13 22:01:26.462000+00:00,,2652,
Tick,2024-10-13 22:01:26.561000+00:00,2651.08,,
Tick,2024-10-13 22:01:26.964000+00:00,2651.03,2652.04,
Tick,2024-10-13 22:01:27.066000+00:00,2651.08,2652.02,
Tick,2024-10-13 22:01:27.167000+00:00,2651.09,2652.03,
Tick,2024-10-13 22:01:27.296000+00:00,2651.32,2651.95,
Tick,2024-10-13 22:01:27.335000+00:00,2651.04,2652.16,
Tick,2024-10-13 22:01:27.370000+00:00,2651.16,2652.29,
Tick,2024-10-13 22:01:27.567000+00:00,2651.13,2652.26,
Tick,2024-10-13 22:01:27.666000+00:00,2651.1,2652.22,
Tick,2024-10-13 22:01:27.868000+00:00,2651.07,2652.19,
Tick,2024-10-13 22:01:28.473000+00:00,2651.1,2652.22,
Tick,2024-10-13 22:01:28.509000+00:00,2651.11,2652.23,
Tick,2024-10-13 22:01:28.572000+00:00,2651.1,2652.18,
Tick,2024-10-13 22:01:28.601000+00:00,2651.06,2652.14,
Tick,2024-10-13 22:01:28.666000+00:00,2650.98,2652.1,
Tick,2024-10-13 22:01:28.673000+00:00,2650.89,2652.04,
Tick,2024-10-13 22:01:28.723000+00:00,2650.92,2652.07,
Tick,2024-10-13 22:01:28.773000+00:00,2650.81,2651.95,
Tick,2024-10-13 22:01:28.828000+00:00,2650.79,2651.92,
Tick,2024-10-13 22:01:28.873000+00:00,2650.7,2651.83,
Tick,2024-10-13 22:01:28.920000+00:00,2650.79,2651.64,
Tick,2024-10-13 22:01:28.975000+00:00,2650.81,2651.63,
Tick,2024-10-13 22:01:28.980000+00:00,2650.72,2651.85,
Tick,2024-10-13 22:01:29.010000+00:00,2650.78,2651.68,
Tick,2024-10-13 22:01:29.072000+00:00,2650.77,,
Tick,2024-10-13 22:01:29.074000+00:00,2650.73,2651.61,
Tick,2024-10-13 22:01:29.173000+00:00,2650.9,2651.59,
Tick,2024-10-13 22:01:29.274000+00:00,2650.89,2651.58,
Tick,2024-10-13 22:01:29.476000+00:00,2650.91,2651.59,
Tick,2024-10-13 22:01:29.942000+00:00,2650.74,2651.87,
Tick,2024-10-13 22:01:29.975000+00:00,2650.73,2651.86,
Tick,2024-10-13 22:01:29.992000+00:00,2650.74,,
Tick,2024-10-13 22:01:30.011000+00:00,2650.93,2651.63,
Tick,2024-10-13 22:01:30.137000+00:00,2650.72,2651.84,
Tick,2024-10-13 22:01:30.177000+00:00,2650.8,2651.85,
Tick,2024-10-13 22:01:30.592000+00:00,2650.79,2651.92,
Tick,2024-10-13 22:01:30.679000+00:00,2650.86,2651.98,
Tick,2024-10-13 22:01:30.781000+00:00,2650.89,2652.01,
Tick,2024-10-13 22:01:30.881000+00:00,2650.91,2652.02,
Tick,2024-10-13 22:01:30.982000+00:00,2650.94,2652.07,
Tick,2024-10-13 22:01:31.082000+00:00,2651.03,2652.17,
Tick,2024-10-13 22:01:31.171000+00:00,2651.04,2652.18,
Tick,2024-10-13 22:01:31.187000+00:00,2651.02,2652.16,
Tick,2024-10-13 22:01:31.284000+00:00,2650.89,2652.03,
Tick,2024-10-13 22:01:31.385000+00:00,2650.88,2652,
Tick,2024-10-13 22:01:32.289000+00:00,2650.87,2651.97,
Tick,2024-10-13 22:01:32.576000+00:00,2650.86,2651.98,
Tick,2024-10-13 22:01:32.624000+00:00,2650.87,2652,
Tick,2024-10-13 22:01:32.692000+00:00,2650.89,2652.01,
Tick,2024-10-13 22:01:33.727000+00:00,2650.87,2651.99,
Tick,2024-10-13 22:01:34.847000+00:00,2651.06,2651.76,
Tick,2024-10-13 22:01:34.859000+00:00,2651.05,2651.74,
Tick,2024-10-13 22:01:34.934000+00:00,2651.07,2651.7,
Tick,2024-10-13 22:01:34.960000+00:00,,2651.69,
Tick,2024-10-13 22:01:35.004000+00:00,2650.97,2651.71,
Tick,2024-10-13 22:01:35.013000+00:00,2650.9,,
Tick,2024-10-13 22:01:35.060000+00:00,2650.71,2651.54,
Tick,2024-10-13 22:01:35.160000+00:00,2650.81,,
Tick,2024-10-13 22:01:35.223000+00:00,2650.62,2651.74,
Tick,2024-10-13 22:01:35.260000+00:00,2650.79,2651.75,
Tick,2024-10-13 22:01:35.678000+00:00,2650.68,2651.83,
Tick,2024-10-13 22:01:36.063000+00:00,2650.72,2651.85,
Tick,2024-10-13 22:01:36.168000+00:00,2650.74,2651.87,
Tick,2024-10-13 22:01:36.769000+00:00,2650.52,2651.69,
Tick,2024-10-13 22:01:36.868000+00:00,2650.51,2651.66,
Tick,2024-10-13 22:01:37.069000+00:00,2650.59,2651.76,
Tick,2024-10-13 22:01:37.779000+00:00,2650.64,2651.81,
Tick,2024-10-13 22:01:38.267000+00:00,2650.7,2651.83,
Tick,2024-10-13 22:01:39.225000+00:00,2650.64,2651.8,
Tick,2024-10-13 22:01:39.333000+00:00,2650.69,2651.83,
Tick,2024-10-13 22:01:39.392000+00:00,2650.71,2651.86,
Tick,2024-10-13 22:01:39.686000+00:00,2650.5,2651.67,
Tick,2024-10-13 22:01:40.307000+00:00,2650.48,2651.64,
Tick,2024-10-13 22:01:40.390000+00:00,2650.21,2651.37,
Tick,2024-10-13 22:01:40.420000+00:00,2650.2,2651.33,
Tick,2024-10-13 22:01:40.494000+00:00,2650.15,2651.28,
Tick,2024-10-13 22:01:40.520000+00:00,2650.16,2651.32,
Tick,2024-10-13 22:01:41.482000+00:00,2650.11,2651.29,
Tick,2024-10-13 22:01:41.498000+00:00,2650.06,2651.25,
Tick,2024-10-13 22:01:41.523000+00:00,2649.8,2650.98,
Tick,2024-10-13 22:01:41.583000+00:00,2649.59,2650.78,
Tick,2024-10-13 22:01:41.599000+00:00,2649.31,2650.52,
